IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.90.200,4,4,0.00,2.90,0.00
172.64.87.131,4,4,0.00,2.91,0.00
172.67.95.129,4,4,0.00,2.91,0.00
104.21.41.229,4,4,0.00,2.92,0.00
172.65.0.13,4,4,0.00,2.92,0.00
104.27.127.1,4,4,0.00,2.93,0.00
104.21.36.217,4,4,0.00,2.93,0.00
104.24.132.23,4,4,0.00,2.94,0.00
172.67.222.239,4,4,0.00,2.94,0.00
104.24.152.148,4,4,0.00,2.94,0.00
104.24.8.194,4,4,0.00,2.94,0.00
104.21.237.228,4,4,0.00,2.94,0.00
104.24.9.205,4,4,0.00,2.95,0.00
172.65.1.188,4,4,0.00,2.97,0.00
104.21.37.79,4,4,0.00,2.98,0.00
172.65.12.53,4,4,0.00,2.99,0.00
172.67.89.81,4,4,0.00,2.99,0.00
172.66.146.9,4,4,0.00,2.99,0.00
172.66.144.140,4,4,0.00,3.00,0.00
172.65.4.154,4,4,0.00,3.00,0.00
172.65.178.30,4,4,0.00,3.00,0.00
104.21.66.200,4,4,0.00,3.00,0.00
104.21.223.113,4,4,0.00,3.01,0.00
104.21.208.195,4,4,0.00,3.01,0.00
172.65.108.143,4,4,0.00,3.01,0.00
172.66.156.14,4,4,0.00,3.02,0.00
104.21.64.169,4,4,0.00,3.02,0.00
172.67.217.199,4,4,0.00,3.02,0.00
172.67.233.66,4,4,0.00,3.04,0.00
104.21.202.49,4,4,0.00,3.05,0.00
104.21.203.173,4,4,0.00,3.05,0.00
104.21.204.73,4,4,0.00,3.05,0.00
104.24.136.188,4,4,0.00,3.06,0.00
172.66.161.26,4,4,0.00,3.07,0.00
104.21.198.166,4,4,0.00,3.07,0.00
172.64.82.0,4,4,0.00,3.07,0.00
104.21.209.59,4,4,0.00,3.08,0.00
104.21.232.137,4,4,0.00,3.08,0.00
104.24.83.67,4,4,0.00,3.09,0.00
172.67.242.225,4,4,0.00,3.09,0.00
172.64.76.252,4,4,0.00,3.09,0.00
104.21.44.5,4,4,0.00,3.09,0.00
104.21.28.134,4,4,0.00,3.10,0.00
